2022-04-19 09:50:56,993 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.example:controller:1.0.0-BUILD-SNAPSHOT @ C:\git\Project\Project\project01\pom.xml.
2022-04-19 13:54:03,701 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-04-19 13:54:08,373 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-19 13:54:08,373 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2022-04-19 13:54:08,381 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-19 13:54:08,381 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-04-19 13:54:16,643 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-19 13:54:16,643 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2022-04-19 13:54:16,643 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-19 13:54:16,643 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-04-19 13:54:37,818 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-19 13:54:37,818 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2022-04-19 13:54:37,826 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-19 13:54:37,826 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-04-19 13:54:46,863 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-19 13:54:46,863 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 7 resources
2022-04-19 13:54:46,863 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-19 13:54:46,863 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
